ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1993;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1506803;SANTAREM                      ;31600
1993;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2210002;SAO JOAO DO PIAUI             ;80820
1993;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2302101;BATURITE                      ;193921
1993;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2307600;LIMOEIRO DO NORTE             ;170509
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3134407;ITURAMA                       ;49653
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3537900;PILAR DO SUL                  ;127840
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3154106;RECREIO                       ;23070
1993;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3300803;CACHOEIRAS DE MACACU          ;10540
1993;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3301206;CARMO                         ;20160
1993;REGIÃO CENTRO-OESTE;GO;ÓLEO COMBUSTÍVEL;5213800;MORRINHOS                     ;7400
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3518604;GUARIBA                       ;105000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3519309;IBATE                         ;15200
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3528804;MARACAI                       ;25000
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4107500;ENGENHEIRO BELTRAO            ;10000
1993;REGIÃO CENTRO-OESTE;MS;ÓLEO COMBUSTÍVEL;5007925;SONORA                        ;10000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3510000;CANDIDO MOTA                  ;329227
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3107400;BOM DESPACHO                  ;143860
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3137201;LAGOA DA PRATA                ;10264
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3160408;SANTO ANTONIO DO MONTE        ;48
1993;REGIÃO SUDESTE;ES;ÓLEO COMBUSTÍVEL;3202402;GUARAPARI                     ;96
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3116603;CLAUDIO                       ;400
1993;REGIÃO SUL;SC;ÓLEO COMBUSTÍVEL;4212606;PERITIBA                      ;84385
1993;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3303305;*;1200
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3526607;LAVRINHAS                     ;162130
1993;REGIÃO NORTE;TO;ÓLEO COMBUSTÍVEL;1700308;ARAGUACU                      ;1000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3505405;BARRA DO TURVO                ;163600
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3536203;PARIQUERA-ACU                 ;142192
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4318404;SAO JERONIMO                  ;120
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4318501;SAO JOSE DO NORTE             ;144
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4319907;SAPIRANGA                     ;300
1993;REGIÃO NORTE;AM;ÓLEO COMBUSTÍVEL;1303511;PRESIDENTE FIGUEIREDO         ;200
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4119150;PINHAIS                       ;1000
1993;REGIÃO NORTE;AP;ÓLEO COMBUSTÍVEL;1600907;SANTANA                       ;800
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3509505;*;164700
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4309006;GIRUA                         ;62000
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3112306;CAPELINHA                     ;200
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3163709;SAO LOURENCO                  ;3000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3520447;ILHA SOLTEIRA                 ;2800
1993;REGIÃO SUL;SC;ÓLEO COMBUSTÍVEL;4219708;XAXIM                         ;2200
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4318803;SAO LOURENCO DO SUL           ;400
1993;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2101602;BARRA DO CORDA                ;129269
1993;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2516101;SOLEDADE                      ;44920
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3101100;AIMORES                       ;10590
1993;REGIÃO SUDESTE;RJ;ÓLEO COMBUSTÍVEL;3305600;SILVA JARDIM                  ;9700
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4314506;PINHEIRO MACHADO              ;34190
1993;REGIÃO CENTRO-OESTE;GO;ÓLEO COMBUSTÍVEL;5217202;PIRANHAS                      ;8010
1993;REGIÃO CENTRO-OESTE;GO;ÓLEO COMBUSTÍVEL;5221404;TRINDADE                      ;106120
1993;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2412500;SAO MIGUEL                    ;3000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3532909;NOVA EUROPA                   ;15000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3539504;PITANGUEIRAS                  ;10000
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2610906;PESQUEIRA                     ;535437
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3506800;BOCAINA                       ;217661
1993;REGIÃO CENTRO-OESTE;GO;ÓLEO COMBUSTÍVEL;5214866;NOVA GLORIA                   ;1570800
1993;REGIÃO SUL;NA;ÓLEO COMBUSTÍVEL;4015800;*;800
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3116204;CHIADOR                       ;24
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3124100;ESMERALDAS                    ;800
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3141608;MERCES                        ;72
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3165701;SENADOR FIRMINO               ;24
1993;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2600056;ABREU E LIMA                  ;110141
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4315006;PORTO LUCENA                  ;48
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4304802;CARLOS BARBOSA                ;760
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3500101;ADAMANTINA                    ;200
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3504603;BADY BASSITT                  ;3800
1993;REGIÃO NORDESTE;BA;ÓLEO COMBUSTÍVEL;2903806;BOA VISTA DO TUPIM            ;326336
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3126005;FLORESTAL                     ;23940
1993;REGIÃO NORTE;RO;ÓLEO COMBUSTÍVEL;1100114;JARU                          ;125950
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3155803;RIO POMBA                     ;18488
1993;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2401207;ARES                          ;8000
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4112105;JANDAIA DO SUL                ;10000
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4125800;SAO PEDRO DO IVAI             ;10000
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3117707;CONCEICAO DO RIO VERDE        ;24
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3140504;MARTINHO CAMPOS               ;24
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3152308;PORTO FIRME                   ;48
1993;REGIÃO SUL;PR;ÓLEO COMBUSTÍVEL;4105907;COLORADO                      ;48
1993;REGIÃO NORTE;RO;ÓLEO COMBUSTÍVEL;1100181;PIMENTA BUENO                 ;95398
1993;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2106809;MIRINZAL                      ;15238
1993;REGIÃO SUDESTE;MG;ÓLEO COMBUSTÍVEL;3138402;LEOPOLDINA                    ;250130
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3517101;GLICERIO                      ;143302
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3503303;*;17000
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3516709;GARCA                         ;600
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3518906;GUZOLANDIA                    ;400
1993;REGIÃO SUDESTE;SP;ÓLEO COMBUSTÍVEL;3536602;PAULO DE FARIA                ;15000
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4318200;SAO FRANCISCO DE PAULA        ;73760
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4322819;COTIPORA                      ;48
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4302400;BOM RETIRO DO SUL             ;128
1993;REGIÃO SUL;RS;ÓLEO COMBUSTÍVEL;4306600;DOM PEDRITO                   ;60
